in s,C1 in V,C2 in V
-1.171440E-03,-3.98633E-02,1.88679E-01
-1.171200E-03,-4.18164E-02,1.88679E-01
-1.170960E-03,-4.18164E-02,1.94197E-01
-1.170720E-03,-4.08398E-02,2.05232E-01
-1.170480E-03,-3.98633E-02,2.05232E-01
-1.170240E-03,-4.08398E-02,2.21785E-01
-1.170000E-03,-4.18164E-02,2.05232E-01
-1.169760E-03,-4.27930E-02,2.05232E-01
-1.169520E-03,-4.18164E-02,2.16267E-01
-1.169280E-03,-4.18164E-02,2.27302E-01
-1.169040E-03,-3.88867E-02,1.99714E-01
-1.168800E-03,-3.69336E-02,2.21785E-01
-1.168560E-03,-4.37695E-02,2.21785E-01
-1.168320E-03,-4.18164E-02,2.16267E-01
-1.168080E-03,-4.18164E-02,2.05232E-01
-1.167840E-03,-3.98633E-02,2.60408E-01
-1.167600E-03,-3.98633E-02,2.49372E-01
-1.167360E-03,-3.98633E-02,2.32820E-01
-1.167120E-03,-4.08398E-02,2.49372E-01
-1.166880E-03,-3.49805E-02,2.54890E-01
-1.166640E-03,-4.37695E-02,2.60408E-01
-1.166400E-03,-4.18164E-02,2.49372E-01
-1.166160E-03,-4.37695E-02,2.71443E-01
-1.165920E-03,-4.18164E-02,2.54890E-01
-1.165680E-03,-4.27930E-02,2.76960E-01
-1.165440E-03,-3.79102E-02,2.60408E-01
-1.165200E-03,-4.18164E-02,2.60408E-01
-1.164960E-03,-4.08398E-02,2.71443E-01
-1.164720E-03,-4.27930E-02,2.99031E-01
-1.164480E-03,-3.98633E-02,2.99031E-01
-1.164240E-03,-4.57227E-02,2.93513E-01
-1.164000E-03,-3.88867E-02,3.26619E-01
-1.163760E-03,-4.37695E-02,3.04548E-01
-1.163520E-03,-4.27930E-02,3.10066E-01
-1.163280E-03,-3.98633E-02,3.10066E-01
-1.163040E-03,-4.18164E-02,3.43171E-01
-1.162800E-03,-4.08398E-02,3.04548E-01
-1.162560E-03,-4.08398E-02,3.15583E-01
-1.162320E-03,-3.88867E-02,3.10066E-01
-1.162080E-03,-4.08398E-02,3.26619E-01
-1.161840E-03,-3.88867E-02,3.15583E-01
-1.161600E-03,-4.18164E-02,3.26619E-01
-1.161360E-03,-4.08398E-02,3.10066E-01
-1.161120E-03,-3.98633E-02,3.32136E-01
-1.160880E-03,-4.08398E-02,2.93513E-01
-1.160640E-03,-3.98633E-02,3.32136E-01
-1.160400E-03,-4.08398E-02,3.43171E-01
-1.160160E-03,-3.88867E-02,3.43171E-01
-1.159920E-03,-4.18164E-02,3.43171E-01
-1.159680E-03,-3.88867E-02,3.65242E-01
-1.159440E-03,-3.79102E-02,3.59724E-01
-1.159200E-03,-4.18164E-02,3.65242E-01
-1.158960E-03,-3.98633E-02,3.81794E-01
-1.158720E-03,-4.27930E-02,3.65242E-01
-1.158480E-03,-4.37695E-02,3.70759E-01
-1.158240E-03,-3.98633E-02,3.70759E-01
-1.158000E-03,-4.08398E-02,3.87312E-01
-1.157760E-03,-4.08398E-02,3.76277E-01
-1.157520E-03,-4.27930E-02,3.70759E-01
-1.157280E-03,-3.88867E-02,3.70759E-01
-1.157040E-03,-4.18164E-02,3.87312E-01
-1.156800E-03,-3.88867E-02,3.87312E-01
-1.156560E-03,-4.08398E-02,3.87312E-01
-1.156320E-03,-4.18164E-02,3.87312E-01
-1.156080E-03,-3.98633E-02,3.87312E-01
-1.155840E-03,-4.18164E-02,4.03865E-01
-1.155600E-03,-4.18164E-02,3.92829E-01
-1.155360E-03,-3.88867E-02,4.09382E-01
-1.155120E-03,-4.18164E-02,3.87312E-01
-1.154880E-03,-4.27930E-02,4.03865E-01
-1.154640E-03,-4.27930E-02,4.42488E-01
-1.154400E-03,-4.08398E-02,4.14900E-01
-1.154160E-03,-4.08398E-02,4.31453E-01
-1.153920E-03,-4.08398E-02,4.31453E-01
-1.153680E-03,-4.18164E-02,4.09382E-01
-1.153440E-03,-4.08398E-02,4.48005E-01
-1.153200E-03,-4.18164E-02,4.42488E-01
-1.152960E-03,-4.47461E-02,4.36970E-01
-1.152720E-03,-4.18164E-02,4.48005E-01
-1.152480E-03,-4.37695E-02,4.53523E-01
-1.152240E-03,-3.98633E-02,4.36970E-01
-1.152000E-03,-3.98633E-02,4.48005E-01
-1.151760E-03,-3.98633E-02,4.48005E-01
-1.151520E-03,-3.79102E-02,4.31453E-01
-1.151280E-03,-4.37695E-02,4.36970E-01
-1.151040E-03,-4.18164E-02,4.48005E-01
-1.150800E-03,-4.37695E-02,4.64558E-01
-1.150560E-03,-4.27930E-02,4.53523E-01
-1.150320E-03,-4.37695E-02,4.59040E-01
-1.150080E-03,-4.27930E-02,4.81111E-01
-1.149840E-03,-3.88867E-02,4.64558E-01
-1.149600E-03,-3.88867E-02,4.86628E-01
-1.149360E-03,-4.08398E-02,4.70076E-01
-1.149120E-03,-4.08398E-02,4.92146E-01
-1.148880E-03,-4.08398E-02,4.97663E-01
-1.148640E-03,-4.37695E-02,4.81111E-01
-1.148400E-03,-3.88867E-02,4.86628E-01
-1.148160E-03,-4.08398E-02,5.08699E-01
-1.147920E-03,-4.37695E-02,4.92146E-01
-1.147680E-03,-4.18164E-02,4.97663E-01
-1.147440E-03,-4.18164E-02,4.92146E-01
-1.147200E-03,-3.79102E-02,5.08699E-01
-1.146960E-03,-3.79102E-02,5.03181E-01
-1.146720E-03,-4.08398E-02,5.08699E-01
-1.146480E-03,-3.98633E-02,5.03181E-01
-1.146240E-03,-4.27930E-02,4.92146E-01
-1.146000E-03,-4.27930E-02,4.92146E-01
-1.145760E-03,-3.79102E-02,5.19734E-01
-1.145520E-03,-4.08398E-02,5.08699E-01
-1.145280E-03,-4.08398E-02,5.19734E-01
-1.145040E-03,-4.37695E-02,5.08699E-01
-1.144800E-03,-4.08398E-02,5.19734E-01
-1.144560E-03,-4.27930E-02,4.97663E-01
-1.144320E-03,-3.79102E-02,5.47322E-01
-1.144080E-03,-4.08398E-02,5.14216E-01
-1.143840E-03,-3.98633E-02,5.30769E-01
-1.143600E-03,-4.08398E-02,5.30769E-01
-1.143360E-03,-4.37695E-02,5.58357E-01
-1.143120E-03,-3.88867E-02,5.52839E-01
-1.142880E-03,-4.18164E-02,5.52839E-01
-1.142640E-03,-4.27930E-02,5.63874E-01
-1.142400E-03,-4.27930E-02,5.80427E-01
-1.142160E-03,-4.18164E-02,5.69392E-01
-1.141920E-03,-4.08398E-02,5.69392E-01
-1.141680E-03,-4.18164E-02,5.63874E-01
-1.141440E-03,-4.08398E-02,5.80427E-01
-1.141200E-03,-4.18164E-02,5.91462E-01
-1.140960E-03,-4.18164E-02,5.69392E-01
-1.140720E-03,-4.08398E-02,5.91462E-01
-1.140480E-03,-4.08398E-02,5.91462E-01
-1.140240E-03,-4.08398E-02,5.91462E-01
-1.140000E-03,-4.47461E-02,5.85945E-01
-1.139760E-03,-4.27930E-02,5.85945E-01
-1.139520E-03,-4.08398E-02,6.02497E-01
-1.139280E-03,-4.18164E-02,6.02497E-01
-1.139040E-03,-4.37695E-02,5.91462E-01
-1.138800E-03,-4.18164E-02,5.80427E-01
-1.138560E-03,-4.18164E-02,5.91462E-01
-1.138320E-03,-4.37695E-02,6.13533E-01
-1.138080E-03,-3.88867E-02,5.96980E-01
-1.137840E-03,-4.08398E-02,5.91462E-01
-1.137600E-03,-3.79102E-02,6.13533E-01
-1.137360E-03,-4.08398E-02,6.08015E-01
-1.137120E-03,-3.98633E-02,6.24568E-01
-1.136880E-03,-4.37695E-02,6.24568E-01
-1.136640E-03,-4.08398E-02,6.08015E-01
-1.136400E-03,-3.88867E-02,6.30085E-01
-1.136160E-03,-4.18164E-02,6.19050E-01
-1.135920E-03,-3.98633E-02,6.35603E-01
-1.135680E-03,-3.98633E-02,6.41121E-01
-1.135440E-03,-4.27930E-02,6.52156E-01
-1.135200E-03,-4.18164E-02,6.41121E-01
-1.134960E-03,-3.98633E-02,6.30085E-01
-1.134720E-03,-4.27930E-02,6.46638E-01
-1.134480E-03,-4.47461E-02,6.63191E-01
-1.134240E-03,-4.27930E-02,6.41121E-01
-1.134000E-03,-4.18164E-02,6.57673E-01
-1.133760E-03,-4.18164E-02,6.46638E-01
-1.133520E-03,-3.88867E-02,6.63191E-01
-1.133280E-03,-4.08398E-02,6.46638E-01
-1.133040E-03,-4.27930E-02,6.52156E-01
-1.132800E-03,-4.08398E-02,6.57673E-01
-1.132560E-03,-3.98633E-02,6.63191E-01
-1.132320E-03,-4.08398E-02,6.74226E-01
-1.132080E-03,-3.79102E-02,6.85261E-01
-1.131840E-03,-3.88867E-02,6.79744E-01
-1.131600E-03,-4.18164E-02,6.68708E-01
-1.131360E-03,-3.88867E-02,6.96296E-01
-1.131120E-03,-3.88867E-02,6.68708E-01
-1.130880E-03,-3.88867E-02,6.90779E-01
-1.130640E-03,-4.18164E-02,7.07331E-01
-1.130400E-03,-4.18164E-02,7.01814E-01
-1.130160E-03,-4.08398E-02,6.90779E-01
-1.129920E-03,-3.88867E-02,7.01814E-01
-1.129680E-03,-3.79102E-02,6.96296E-01
-1.129440E-03,-4.08398E-02,7.23884E-01
-1.129200E-03,-4.18164E-02,7.01814E-01
-1.128960E-03,-3.79102E-02,7.07331E-01
-1.128720E-03,-3.88867E-02,7.18367E-01
-1.128480E-03,-3.98633E-02,7.07331E-01
-1.128240E-03,-4.37695E-02,7.18367E-01
-1.128000E-03,-3.79102E-02,7.07331E-01
-1.127760E-03,-4.27930E-02,6.96296E-01
-1.127520E-03,-4.18164E-02,7.01814E-01
-1.127280E-03,-4.18164E-02,7.01814E-01
-1.127040E-03,-4.08398E-02,7.34919E-01
-1.126800E-03,-4.08398E-02,7.01814E-01
-1.126560E-03,-3.79102E-02,7.23884E-01
-1.126320E-03,-4.08398E-02,7.12849E-01
-1.126080E-03,-4.08398E-02,7.45954E-01
-1.125840E-03,-4.18164E-02,7.45954E-01
-1.125600E-03,-4.08398E-02,7.34919E-01
-1.125360E-03,-3.88867E-02,7.62507E-01
-1.125120E-03,-4.08398E-02,7.45954E-01
-1.124880E-03,-4.08398E-02,7.51472E-01
-1.124640E-03,-4.57227E-02,7.62507E-01
-1.124400E-03,-4.66992E-02,7.56990E-01
-1.124160E-03,-4.18164E-02,7.62507E-01
-1.123920E-03,-4.37695E-02,7.73542E-01
-1.123680E-03,-4.27930E-02,7.84578E-01
-1.123440E-03,-4.37695E-02,7.56990E-01
-1.123200E-03,-3.79102E-02,7.84578E-01
-1.122960E-03,-4.08398E-02,7.56990E-01
-1.122720E-03,-4.18164E-02,7.68025E-01
-1.122480E-03,-4.18164E-02,7.51472E-01
-1.122240E-03,-3.98633E-02,7.73542E-01
-1.122000E-03,-4.37695E-02,7.62507E-01
-1.121760E-03,-4.08398E-02,7.62507E-01
-1.121520E-03,-4.47461E-02,7.68025E-01
-1.121280E-03,-4.08398E-02,7.84578E-01
-1.121040E-03,-4.18164E-02,7.68025E-01
-1.120800E-03,-4.18164E-02,7.79060E-01
-1.120560E-03,-3.88867E-02,7.73542E-01
-1.120320E-03,-4.08398E-02,7.90095E-01
-1.120080E-03,-4.08398E-02,7.79060E-01
-1.119840E-03,-4.08398E-02,8.06648E-01
-1.119600E-03,-4.37695E-02,7.90095E-01
-1.119360E-03,-4.08398E-02,7.90095E-01
-1.119120E-03,-4.08398E-02,8.12165E-01
-1.118880E-03,-3.79102E-02,8.01130E-01
-1.118640E-03,-4.18164E-02,8.01130E-01
-1.118400E-03,-4.08398E-02,8.12165E-01
-1.118160E-03,-3.88867E-02,8.28718E-01
-1.117920E-03,-4.37695E-02,8.34236E-01
-1.117680E-03,-4.37695E-02,8.12165E-01
-1.117440E-03,-4.18164E-02,8.06648E-01
-1.117200E-03,-4.08398E-02,8.23201E-01
-1.116960E-03,-4.18164E-02,8.28718E-01
-1.116720E-03,-4.08398E-02,8.34236E-01
-1.116480E-03,-4.08398E-02,8.17683E-01
-1.116240E-03,-3.88867E-02,8.28718E-01
-1.116000E-03,-4.27930E-02,8.34236E-01
-1.115760E-03,-4.27930E-02,8.23201E-01
-1.115520E-03,-4.08398E-02,8.45271E-01
-1.115280E-03,-4.37695E-02,8.28718E-01
-1.115040E-03,-4.18164E-02,8.28718E-01
-1.114800E-03,-4.08398E-02,8.39753E-01
-1.114560E-03,-4.08398E-02,8.50788E-01
-1.114320E-03,-3.59570E-02,8.50788E-01
-1.114080E-03,-4.18164E-02,8.72859E-01
-1.113840E-03,-4.37695E-02,8.72859E-01
-1.113600E-03,-4.08398E-02,8.72859E-01
-1.113360E-03,-4.37695E-02,8.61824E-01
-1.113120E-03,-3.98633E-02,8.78376E-01
-1.112880E-03,-3.98633E-02,8.83894E-01
-1.112640E-03,-3.69336E-02,8.72859E-01
-1.112400E-03,-3.88867E-02,8.61824E-01
-1.112160E-03,-3.79102E-02,8.61824E-01
-1.111920E-03,-4.27930E-02,8.67341E-01
-1.111680E-03,-4.18164E-02,8.89412E-01
-1.111440E-03,-3.88867E-02,8.89412E-01
-1.111200E-03,-4.27930E-02,8.72859E-01
-1.110960E-03,-4.27930E-02,9.00447E-01
-1.110720E-03,-4.18164E-02,8.50788E-01
-1.110480E-03,-4.37695E-02,8.89412E-01
-1.110240E-03,-4.27930E-02,9.11482E-01
-1.110000E-03,-4.18164E-02,8.94929E-01
-1.109760E-03,-3.79102E-02,8.83894E-01
-1.109520E-03,-4.08398E-02,8.83894E-01
-1.109280E-03,-4.08398E-02,9.00447E-01
-1.109040E-03,-4.08398E-02,8.94929E-01
-1.108800E-03,-4.37695E-02,8.89412E-01
-1.108560E-03,-3.98633E-02,9.11482E-01
-1.108320E-03,-3.79102E-02,8.94929E-01
-1.108080E-03,-4.08398E-02,8.89412E-01
-1.107840E-03,-4.08398E-02,9.16999E-01
-1.107600E-03,-4.18164E-02,9.16999E-01
-1.107360E-03,-3.79102E-02,9.11482E-01
-1.107120E-03,-3.98633E-02,8.94929E-01
-1.106880E-03,-4.47461E-02,9.22517E-01
-1.106640E-03,-4.08398E-02,9.28035E-01
-1.106400E-03,-4.08398E-02,9.39070E-01
-1.106160E-03,-3.88867E-02,9.33552E-01
-1.105920E-03,-4.08398E-02,9.16999E-01
-1.105680E-03,-4.37695E-02,9.33552E-01
-1.105440E-03,-4.08398E-02,9.28035E-01
-1.105200E-03,-4.47461E-02,9.11482E-01
-1.104960E-03,-4.08398E-02,9.28035E-01
-1.104720E-03,-4.18164E-02,9.11482E-01
-1.104480E-03,-4.18164E-02,9.33552E-01
-1.104240E-03,-4.37695E-02,9.16999E-01
-1.104000E-03,-3.79102E-02,9.39070E-01
-1.103760E-03,-3.88867E-02,9.33552E-01
-1.103520E-03,-3.88867E-02,9.33552E-01
-1.103280E-03,-3.88867E-02,9.33552E-01
-1.103040E-03,-4.27930E-02,9.55622E-01
-1.102800E-03,-4.18164E-02,9.44587E-01
-1.102560E-03,-4.18164E-02,9.66658E-01
-1.102320E-03,-4.08398E-02,9.50105E-01
-1.102080E-03,-3.69336E-02,9.61140E-01
-1.101840E-03,-4.08398E-02,9.55622E-01
-1.101600E-03,-3.79102E-02,9.77693E-01
-1.101360E-03,-4.37695E-02,9.66658E-01
-1.101120E-03,-4.18164E-02,9.83210E-01
-1.100880E-03,-4.27930E-02,9.72175E-01
-1.100640E-03,-3.79102E-02,9.88728E-01
